"block","loc","scale","shape"
109,0.00472079488015674,0.00268510651411195,-0.0952482778070973
110,0.00448132878605147,0.00265479304268188,0.130886956860923
111,0.00456316410691291,0.00235884248356617,-0.0927134940327936
112,0.00504025890720121,0.00283255592560994,-0.137599462282847
113,0.00432050967999579,0.00296353991503459,-0.0633954308227073
114,0.00444118477596368,0.0028380844558214,0.171820564645562
115,0.00335239642320367,0.00261122703909671,0.433492444129458
116,0.0044452940385814,0.00314013709583615,-0.00478274026287866
117,0.00502063738049391,0.00316868475232826,-0.154501012892935
118,0.00414882105116356,0.0024474778656913,0.15415664742796
119,0.00395078383469658,0.00246276784182665,0.100144561515728
120,0.00327427980470752,0.00247351738379488,0.0371957944643177
121,0.00224429959283259,0.00188846712342885,0.255285634654361
122,0.00239948189502842,0.00210220512191009,0.108870405452284
123,0.00220242978157225,0.00191874769534621,0.215440903870902
124,0.00251649625410674,0.00225266974454518,0.215211936888875
125,0.00218416433682636,0.00160428278168067,0.129089580069617
126,0.00251151364919959,0.00186603647919394,0.626141863400532
127,0.00443979458159696,0.00300548979885105,-0.199554173841814
128,0.00365654254260423,0.00258635813757384,0.135574938401247
129,0.0037336604970366,0.00257988028287245,0.155521583000241
130,0.00380536967802209,0.00240589361606216,0.196541584789084
131,0.00403519716519229,0.00213066564185079,0.0930474234250045
132,0.00410948030319249,0.00285182569390074,-0.0342208980065679
133,0.00326970462706543,0.00176117392638015,0.0384617008307456
134,0.00452205765228257,0.00268611498683124,-0.073901551365707
135,0.0043783338475553,0.00252743644725406,0.155236369113227
136,0.00481183430072718,0.00298532710716275,0.165825000112669
137,0.00532851468171924,0.00276145151499661,0.0792354945755701
138,0.006586589324983,0.00223857412515179,-0.050469002595864
139,0.00652276067200693,0.00288725579082063,-0.441928580206169
140,0.00475659174607157,0.00277132522936731,0.180454902871318
141,0.00480633457271465,0.00249626068166015,0.00533496051901236
142,0.00534679933447928,0.00271558329370904,-0.488932018105367
143,0.00395264439387206,0.00204274327244986,0.361363360641143
144,0.00311599055855436,0.00183774115012491,0.19844552871808
145,0.00346015407521827,0.00235671120706096,0.040631064794277
146,0.00334200780616143,0.00222961725953617,0.134153480307994
147,0.00267926481995083,0.00227128852692147,0.00805595598528863
148,0.00206355771772924,0.00167897714860481,0.0687337764682109
149,0.00251381368511389,0.00204634084399929,0.161627520461624
150,0.00317067514669222,0.00199092034867209,0.0548077616274685
151,0.00377132247958079,0.00239221908790803,-0.355197915668101
152,0.00356763578816741,0.00201537812925931,0.40747466474335
153,0.00388720398377023,0.00233738593471206,0.157165600546602
154,0.00379550009947145,0.00268204138902386,0.288376496083041
155,0.00444874583128788,0.00240505757312583,0.144911307606275
156,0.00484931481301774,0.0020679838835604,-0.140197499380187
157,0.00470874478261654,0.00241860448424806,-0.473741025986189
158,0.00440146833962292,0.00254501862907118,-0.0770743630868645
159,0.00469500794002232,0.00261733195241175,0.0248912455808982
160,0.00560808252770374,0.00388200504257223,0.0962508679223034
161,0.00605703617693844,0.00346023835813106,-0.002078614911491
162,0.0057545581224305,0.00332312038879765,-0.148528187169072
163,0.00518211109587935,0.00283204271969248,-0.0158288596313891
164,0.00498327696311146,0.00299773449669097,-0.0509044577075651
165,0.00488817384164231,0.00240773299732364,0.0726774498705278
166,0.00445726475584749,0.00156634406244124,0.0472359715511932
167,0.00394554219175129,0.00227616409140615,-0.0488573930626012
168,0.00327057951736246,0.00213599438377649,0.175735285643737
169,0.00299715692212671,0.00178147395847007,0.459289108601499
170,0.00332186181317199,0.0024666326289316,0.159364959954279
171,0.00264890817637658,0.00203181496094318,0.0898321305215022
172,0.00229918687653767,0.00180389659499126,0.16425194127803
173,0.00241876642525527,0.00214101525529524,0.312633342563756
174,0.00408371603212754,0.00319840736645567,-0.233961997673651
175,0.00283274635828488,0.00219829380732809,0.260830803936805
176,0.00442443444467761,0.00258257212604495,0.149182533072454
177,0.00388011741121144,0.00249813175723491,0.172151077233054
178,0.00412684963282294,0.00263148047952739,-0.0178129837500077
179,0.00402233251371731,0.00225973423517157,0.0887853814651709
180,0.004988075973361,0.0026719885076053,-0.000380363925941272
181,0.00372028993676058,0.00218474407220746,0.168315839742205
182,0.00432384265562664,0.00195793362107518,0.0486710879521535
183,0.00413324520214713,0.00164316287706608,0.119976112980448
184,0.00463870094182363,0.00253664497293156,0.295652606501037
185,0.00464624410555559,0.00283358817207527,0.116935865811804
186,0.00462744021894982,0.00280853930747223,0.119605100701505
187,0.00480680636979175,0.00264174031185922,-0.161497275997603
188,0.00461559158188549,0.00271960668796302,-0.16904961862081
189,0.00472751023536875,0.00297905991525028,0.12327267029896
190,0.00438706803708856,0.00208474111453134,0.197118716897397
191,0.00388624190465257,0.00179818090668068,0.0981388869628671
192,0.00380784781485697,0.00300860462229754,0.181837112863511
193,0.00347217859863037,0.00246893869976137,0.443764311807696
194,0.00306133403555212,0.00250789513513851,0.268107051051576
195,0.00269374944824372,0.0023343873335834,0.336020952950703
196,0.00247445021651897,0.00216323727615571,0.179042823041878
197,0.00257544095957588,0.00239230678678612,0.391473185124094
198,0.00300150793255819,0.00232436192845822,0.0846649517029513
199,0.00338999481731787,0.00255141455019194,0.145237092036821
200,0.00390932775923533,0.0026184296685821,0.249964289370715
201,0.00370322940803582,0.00179937036836693,0.0123477874466559
202,0.00383134594581202,0.00307517980488102,0.160152665557236
203,0.00453977387170423,0.00321678631055708,0.211457728077706
204,0.00465899126917832,0.00329960274544897,0.0738309710640517
205,0.00538431596010683,0.00336735002656171,0.0385476194787232
206,0.00414745163146682,0.00237297236019476,0.271480393970856
207,0.00507703178158153,0.00226408814765346,0.021437162769962
208,0.00469338152428538,0.00237154607272687,0.219520655698741
209,0.00561985717987088,0.00261485675994917,0.0472269637784326
210,0.00540628519651059,0.00275352856923755,-0.219651227007734
211,0.00490751982699815,0.00245636935693595,-0.174035315749134
212,0.00444835872260961,0.00276991735769578,-0.0434523892184447
213,0.00474400919117676,0.00256996199666892,0.16844122462112
214,0.00569520859301205,0.00321539218019488,0.283183976870096
215,0.0039758542077012,0.00205412429823427,0.0932817480008038
216,0.00336659598014538,0.00254159063477633,0.189261426668512
217,0.00383813813520532,0.00263483962809883,-0.020298306715561
218,0.0022670744869155,0.00192881122568797,0.601233474506955
219,0.00270450587039909,0.0020150644663246,0.169872078011086
220,0.00260402267047004,0.00166048561751479,0.598281816152271
221,0.00280616849423298,0.00222997943228679,0.282478723469813
222,0.00287416049084364,0.001915885329694,0.0873131634046196
223,0.00244871636943491,0.00227624835810238,0.446858312006674
224,0.00396446206765633,0.00283865113788225,0.291493293592459
225,0.00363338936521547,0.00256599116641103,0.138279812571125
226,0.00400554438916105,0.00329518049300804,0.177519116675814
227,0.00368195716690187,0.0027918249290885,0.162157454265295
228,0.00441838296890568,0.00316758271830382,0.154409818630327
229,0.00428752849403951,0.00299035456193295,0.0969944825411965
231,0.00462936858703892,0.00295762839965451,-0.0911693821659266
232,0.00424349850025808,0.00230298621156752,0.313472786815312
233,0.00534483292056132,0.00221445385226611,0.119851636685333
234,0.00568456566825694,0.0025748644194724,0.171833156470761
