rlat,rlon,block,block1,block2,block3,block4
-0.92,-2.8,0,0,6,1,7
-0.9,-2.8,0,0,6,1,7
-0.88,-2.8,0,0,6,1,7
-0.86,-2.8,0,0,6,1,7
-0.84,-2.8,0,0,6,1,7
-0.82,-2.8,0,0,6,1,7
-0.8,-2.8,0,0,6,1,7
-0.78,-2.8,0,0,6,1,7
-0.76,-2.8,0,0,6,1,7
-0.74,-2.8,0,0,6,1,7
-0.72,-2.8,6,6,0,7,1
-0.7,-2.8,6,6,0,7,12
-0.68,-2.8,6,6,0,7,12
-0.66,-2.8,6,6,0,12,7
-0.64,-2.8,6,6,0,12,7
-0.62,-2.8,6,6,0,12,7
-0.6,-2.8,6,6,0,12,7
-0.58,-2.8,6,6,0,12,7
-0.56,-2.8,6,6,0,12,7
-0.54,-2.8,6,6,0,12,7
-0.52,-2.8,6,6,0,12,7
-0.5,-2.8,6,6,0,12,7
-0.48,-2.8,6,6,12,0,7
-0.46,-2.8,6,6,12,0,7
-0.44,-2.8,6,6,12,0,7
-0.42,-2.8,6,6,12,0,7
-0.4,-2.8,6,6,12,0,7
-0.38,-2.8,6,6,12,0,7
-0.36,-2.8,6,6,12,0,7
-0.34,-2.8,6,6,12,0,7
-0.32,-2.8,6,6,12,0,7
-0.3,-2.8,6,6,12,0,7
-0.28,-2.8,6,6,12,7,0
-0.26,-2.8,6,6,12,7,13
-0.24,-2.8,12,12,6,13,7
-0.22,-2.8,12,12,6,13,18
-0.2,-2.8,12,12,6,13,18
-0.18,-2.8,12,12,6,18,13
-0.16,-2.8,12,12,6,18,13
-0.14,-2.8,12,12,6,18,13
-0.12,-2.8,12,12,6,18,13
-0.1,-2.8,12,12,6,18,13
-0.08,-2.8,12,12,6,18,13
-0.06,-2.8,12,12,6,18,13
-0.04,-2.8,12,12,6,18,13
-0.02,-2.8,12,12,6,18,13
0.0,-2.8,12,12,18,6,13
0.02,-2.8,12,12,18,6,13
0.04,-2.8,12,12,18,6,13
0.06,-2.8,12,12,18,6,13
0.08,-2.8,12,12,18,6,13
0.1,-2.8,12,12,18,6,13
0.12,-2.8,12,12,18,6,13
0.14,-2.8,12,12,18,6,13
0.16,-2.8,12,12,18,6,13
0.18,-2.8,12,12,18,24,13
0.2,-2.8,12,12,18,24,13
0.22,-2.8,12,12,18,24,13
0.24,-2.8,18,18,12,24,19
0.26,-2.8,18,18,12,24,19
0.28,-2.8,18,18,12,24,19
0.3,-2.8,18,18,12,24,19
0.32,-2.8,18,18,12,24,19
0.34,-2.8,18,18,12,24,19
0.36,-2.8,18,18,12,24,19
0.38,-2.8,18,18,12,24,19
0.4,-2.8,18,18,12,24,19
0.42,-2.8,18,18,24,12,19
0.44,-2.8,18,18,24,12,19
0.46,-2.8,18,18,24,12,19
0.48,-2.8,18,18,24,12,19
0.5,-2.8,18,18,24,12,19
0.52,-2.8,18,18,24,12,19
0.54,-2.8,18,18,24,12,19
0.56,-2.8,18,18,24,12,19
0.58,-2.8,18,18,24,12,19
0.6,-2.8,18,18,24,12,19
0.62,-2.8,18,18,24,12,19
0.64,-2.8,18,18,24,12,19
0.66,-2.8,18,18,24,25,19
0.68,-2.8,18,18,24,25,19
0.7,-2.8,18,18,24,25,19
0.72,-2.8,24,24,18,25,19
0.74,-2.8,24,24,18,25,19
0.76,-2.8,24,24,18,25,19
0.78,-2.8,24,24,18,25,19
0.8,-2.8,24,24,18,25,19
0.82,-2.8,24,24,18,25,19
0.84,-2.8,24,24,18,25,19
0.86,-2.8,24,24,18,25,19
0.88,-2.8,24,24,18,25,19
0.9,-2.8,24,24,18,25,19
0.92,-2.8,24,24,18,25,19
0.94,-2.8,24,24,18,25,19
-1.2,-2.78,0,0,1,6,7
-1.18,-2.78,0,0,1,6,7
-1.16,-2.78,0,0,1,6,7
-1.14,-2.78,0,0,1,6,7
-1.12,-2.78,0,0,6,1,7
-1.1,-2.78,0,0,6,1,7
-1.08,-2.78,0,0,6,1,7
-1.06,-2.78,0,0,6,1,7
-1.04,-2.78,0,0,6,1,7
-1.02,-2.78,0,0,6,1,7
-1.0,-2.78,0,0,6,1,7
-0.98,-2.78,0,0,6,1,7
-0.96,-2.78,0,0,6,1,7
-0.94,-2.78,0,0,6,1,7
-0.92,-2.78,0,0,6,1,7
-0.9,-2.78,0,0,6,1,7
-0.88,-2.78,0,0,6,1,7
-0.86,-2.78,0,0,6,1,7
-0.84,-2.78,0,0,6,1,7
-0.82,-2.78,0,0,6,1,7
-0.8,-2.78,0,0,6,1,7
-0.78,-2.78,0,0,6,1,7
-0.76,-2.78,0,0,6,1,7
-0.74,-2.78,0,0,6,1,7
-0.72,-2.78,6,6,0,7,1
-0.7,-2.78,6,6,0,7,1
-0.68,-2.78,6,6,0,7,12
-0.66,-2.78,6,6,0,7,12
-0.64,-2.78,6,6,0,12,7
-0.62,-2.78,6,6,0,12,7
-0.6,-2.78,6,6,0,12,7
-0.58,-2.78,6,6,0,12,7
-0.56,-2.78,6,6,0,12,7
-0.54,-2.78,6,6,0,12,7
-0.52,-2.78,6,6,0,12,7
-0.5,-2.78,6,6,0,12,7
-0.48,-2.78,6,6,12,0,7
-0.46,-2.78,6,6,12,0,7
-0.44,-2.78,6,6,12,0,7
-0.42,-2.78,6,6,12,0,7
-0.4,-2.78,6,6,12,0,7
-0.38,-2.78,6,6,12,0,7
-0.36,-2.78,6,6,12,0,7
-0.34,-2.78,6,6,12,0,7
-0.32,-2.78,6,6,12,7,0
-0.3,-2.78,6,6,12,7,0
-0.28,-2.78,6,6,12,7,13
-0.26,-2.78,6,6,12,7,13
-0.24,-2.78,12,12,6,13,7
-0.22,-2.78,12,12,6,13,7
-0.2,-2.78,12,12,6,13,18
-0.18,-2.78,12,12,6,13,18
-0.16,-2.78,12,12,6,18,13
-0.14,-2.78,12,12,6,18,13
-0.12,-2.78,12,12,6,18,13
-0.1,-2.78,12,12,6,18,13
-0.08,-2.78,12,12,6,18,13
-0.06,-2.78,12,12,6,18,13
-0.04,-2.78,12,12,6,18,13
-0.02,-2.78,12,12,6,18,13
0.0,-2.78,12,12,18,6,13
0.02,-2.78,12,12,18,6,13
0.04,-2.78,12,12,18,6,13
0.06,-2.78,12,12,18,6,13
0.08,-2.78,12,12,18,6,13
0.1,-2.78,12,12,18,6,13
0.12,-2.78,12,12,18,6,13
0.14,-2.78,12,12,18,6,13
0.16,-2.78,12,12,18,13,6
0.18,-2.78,12,12,18,24,13
0.2,-2.78,12,12,18,24,13
0.22,-2.78,12,12,18,24,13
0.24,-2.78,18,18,12,24,19
0.26,-2.78,18,18,12,24,19
0.28,-2.78,18,18,12,24,19
0.3,-2.78,18,18,12,24,19
0.32,-2.78,18,18,12,24,19
0.34,-2.78,18,18,12,24,19
0.36,-2.78,18,18,12,24,19
0.38,-2.78,18,18,12,24,19
0.4,-2.78,18,18,12,24,19
0.42,-2.78,18,18,24,12,19
0.44,-2.78,18,18,24,12,19
0.46,-2.78,18,18,24,12,19
0.48,-2.78,18,18,24,12,19
0.5,-2.78,18,18,24,12,19
0.52,-2.78,18,18,24,12,19
0.54,-2.78,18,18,24,12,19
0.56,-2.78,18,18,24,12,19
0.58,-2.78,18,18,24,12,19
0.6,-2.78,18,18,24,12,19
0.62,-2.78,18,18,24,12,19
0.64,-2.78,18,18,24,19,12
0.66,-2.78,18,18,24,25,19
0.68,-2.78,18,18,24,25,19
0.7,-2.78,18,18,24,25,19
0.72,-2.78,24,24,18,25,19
0.74,-2.78,24,24,18,25,19
0.76,-2.78,24,24,18,25,19
0.78,-2.78,24,24,18,25,19
0.8,-2.78,24,24,18,25,19
0.82,-2.78,24,24,18,25,19
0.84,-2.78,24,24,18,25,19
0.86,-2.78,24,24,18,25,19
0.88,-2.78,24,24,18,25,19
0.9,-2.78,24,24,18,25,19
0.92,-2.78,24,24,18,25,19
0.94,-2.78,24,24,18,25,19
-1.2,-2.76,0,0,1,6,7
-1.18,-2.76,0,0,1,6,7
-1.16,-2.76,0,0,1,6,7
-1.14,-2.76,0,0,1,6,7
-1.12,-2.76,0,0,1,6,7
-1.1,-2.76,0,0,6,1,7
-1.08,-2.76,0,0,6,1,7
-1.06,-2.76,0,0,6,1,7
-1.04,-2.76,0,0,6,1,7
-1.02,-2.76,0,0,6,1,7
-1.0,-2.76,0,0,6,1,7
-0.98,-2.76,0,0,6,1,7
-0.96,-2.76,0,0,6,1,7
-0.94,-2.76,0,0,6,1,7
-0.92,-2.76,0,0,6,1,7
-0.9,-2.76,0,0,6,1,7
-0.88,-2.76,0,0,6,1,7
-0.86,-2.76,0,0,6,1,7
-0.84,-2.76,0,0,6,1,7
-0.82,-2.76,0,0,6,1,7
-0.8,-2.76,0,0,6,1,7
-0.78,-2.76,0,0,6,1,7
-0.76,-2.76,0,0,6,1,7
-0.74,-2.76,0,0,6,1,7
-0.72,-2.76,6,6,0,7,1
-0.7,-2.76,6,6,0,7,1
-0.68,-2.76,6,6,0,7,12
-0.66,-2.76,6,6,0,7,12
-0.64,-2.76,6,6,0,7,12
-0.62,-2.76,6,6,0,12,7
-0.6,-2.76,6,6,0,12,7
-0.58,-2.76,6,6,0,12,7
-0.56,-2.76,6,6,0,12,7
-0.54,-2.76,6,6,0,12,7
-0.52,-2.76,6,6,0,12,7
-0.5,-2.76,6,6,0,12,7
-0.48,-2.76,6,6,12,0,7
-0.46,-2.76,6,6,12,0,7
-0.44,-2.76,6,6,12,0,7
-0.42,-2.76,6,6,12,0,7
-0.4,-2.76,6,6,12,0,7
-0.38,-2.76,6,6,12,0,7
-0.36,-2.76,6,6,12,0,7
-0.34,-2.76,6,6,12,7,0
-0.32,-2.76,6,6,12,7,0
-0.3,-2.76,6,6,12,7,0
-0.28,-2.76,6,6,12,7,13
-0.26,-2.76,6,6,12,7,13
-0.24,-2.76,12,12,6,13,7
-0.22,-2.76,12,12,6,13,7
-0.2,-2.76,12,12,6,13,18
-0.18,-2.76,12,12,6,13,18
-0.16,-2.76,12,12,6,13,18
-0.14,-2.76,12,12,6,18,13
-0.12,-2.76,12,12,6,18,13
-0.1,-2.76,12,12,6,18,13
-0.08,-2.76,12,12,6,18,13
-0.06,-2.76,12,12,6,18,13
-0.04,-2.76,12,12,6,18,13
-0.02,-2.76,12,12,6,18,13
0.0,-2.76,12,12,18,6,13
0.02,-2.76,12,12,18,6,13
0.04,-2.76,12,12,18,6,13
0.06,-2.76,12,12,18,6,13
0.08,-2.76,12,12,18,6,13
0.1,-2.76,12,12,18,6,13
0.12,-2.76,12,12,18,6,13
0.14,-2.76,12,12,18,13,6
0.16,-2.76,12,12,18,13,6
0.18,-2.76,12,12,18,13,24
0.2,-2.76,12,12,18,24,13
0.22,-2.76,12,12,18,24,13
0.24,-2.76,18,18,12,24,19
0.26,-2.76,18,18,12,24,19
0.28,-2.76,18,18,12,24,19
0.3,-2.76,18,18,12,24,19
0.32,-2.76,18,18,12,24,19
0.34,-2.76,18,18,12,24,19
0.36,-2.76,18,18,12,24,19
0.38,-2.76,18,18,12,24,19
0.4,-2.76,18,18,12,24,19
0.42,-2.76,18,18,24,12,19
0.44,-2.76,18,18,24,12,19
0.46,-2.76,18,18,24,12,19
0.48,-2.76,18,18,24,12,19
0.5,-2.76,18,18,24,12,19
0.52,-2.76,18,18,24,12,19
0.54,-2.76,18,18,24,12,19
0.56,-2.76,18,18,24,12,19
0.58,-2.76,18,18,24,12,19
0.6,-2.76,18,18,24,12,19
0.62,-2.76,18,18,24,19,12
0.64,-2.76,18,18,24,19,25
0.66,-2.76,18,18,24,25,19
0.68,-2.76,18,18,24,25,19
0.7,-2.76,18,18,24,25,19
0.72,-2.76,24,24,18,25,19
0.74,-2.76,24,24,18,25,19
0.76,-2.76,24,24,18,25,19
0.78,-2.76,24,24,18,25,19
0.8,-2.76,24,24,18,25,19
0.82,-2.76,24,24,18,25,19
0.84,-2.76,24,24,18,25,19
0.86,-2.76,24,24,18,25,19
0.88,-2.76,24,24,18,25,19
0.9,-2.76,24,24,18,25,19
0.92,-2.76,24,24,18,25,19
0.94,-2.76,24,24,18,25,19
-1.2,-2.74,0,0,1,6,7
-1.18,-2.74,0,0,1,6,7
-1.16,-2.74,0,0,1,6,7
-1.14,-2.74,0,0,1,6,7
-1.12,-2.74,0,0,1,6,7
-1.1,-2.74,0,0,1,6,7
-1.08,-2.74,0,0,6,1,7
-1.06,-2.74,0,0,6,1,7
-1.04,-2.74,0,0,6,1,7
-1.02,-2.74,0,0,6,1,7
-1.0,-2.74,0,0,6,1,7
-0.98,-2.74,0,0,6,1,7
-0.96,-2.74,0,0,6,1,7
-0.94,-2.74,0,0,6,1,7
-0.92,-2.74,0,0,6,1,7
-0.9,-2.74,0,0,6,1,7
-0.88,-2.74,0,0,6,1,7
-0.86,-2.74,0,0,6,1,7
-0.84,-2.74,0,0,6,1,7
-0.82,-2.74,0,0,6,1,7
-0.8,-2.74,0,0,6,1,7
-0.78,-2.74,0,0,6,1,7
-0.76,-2.74,0,0,6,1,7
-0.74,-2.74,0,0,6,1,7
-0.72,-2.74,6,6,0,7,1
-0.7,-2.74,6,6,0,7,1
-0.68,-2.74,6,6,0,7,1
-0.66,-2.74,6,6,0,7,12
-0.64,-2.74,6,6,0,7,12
-0.62,-2.74,6,6,0,7,12
-0.6,-2.74,6,6,0,12,7
-0.58,-2.74,6,6,0,12,7
-0.56,-2.74,6,6,0,12,7
-0.54,-2.74,6,6,0,12,7
-0.52,-2.74,6,6,0,12,7
-0.5,-2.74,6,6,0,12,7
-0.48,-2.74,6,6,12,0,7
-0.46,-2.74,6,6,12,0,7
-0.44,-2.74,6,6,12,0,7
-0.42,-2.74,6,6,12,0,7
-0.4,-2.74,6,6,12,0,7
-0.38,-2.74,6,6,12,0,7
-0.36,-2.74,6,6,12,7,0
-0.34,-2.74,6,6,12,7,0
-0.32,-2.74,6,6,12,7,0
-0.3,-2.74,6,6,12,7,13
-0.28,-2.74,6,6,12,7,13
-0.26,-2.74,6,6,12,7,13
-0.24,-2.74,12,12,6,13,7
-0.22,-2.74,12,12,6,13,7
-0.2,-2.74,12,12,6,13,7
-0.18,-2.74,12,12,6,13,18
-0.16,-2.74,12,12,6,13,18
-0.14,-2.74,12,12,6,13,18
-0.12,-2.74,12,12,6,18,13
-0.1,-2.74,12,12,6,18,13
-0.08,-2.74,12,12,6,18,13
-0.06,-2.74,12,12,6,18,13
-0.04,-2.74,12,12,6,18,13
-0.02,-2.74,12,12,6,18,13
0.0,-2.74,12,12,18,6,13
0.02,-2.74,12,12,18,6,13
0.04,-2.74,12,12,18,6,13
0.06,-2.74,12,12,18,6,13
0.08,-2.74,12,12,18,6,13
0.1,-2.74,12,12,18,6,13
0.12,-2.74,12,12,18,13,6
0.14,-2.74,12,12,18,13,6
0.16,-2.74,12,12,18,13,6
0.18,-2.74,12,12,18,13,24
0.2,-2.74,12,12,18,24,13
0.22,-2.74,12,12,18,24,13
0.24,-2.74,18,18,12,24,19
0.26,-2.74,18,18,12,24,19
0.28,-2.74,18,18,12,24,19
0.3,-2.74,18,18,12,24,19
0.32,-2.74,18,18,12,24,19
0.34,-2.74,18,18,12,24,19
0.36,-2.74,18,18,12,24,19
0.38,-2.74,18,18,12,24,19
0.4,-2.74,18,18,12,24,19
0.42,-2.74,18,18,24,12,19
0.44,-2.74,18,18,24,12,19
0.46,-2.74,18,18,24,12,19
0.48,-2.74,18,18,24,12,19
0.5,-2.74,18,18,24,12,19
0.52,-2.74,18,18,24,12,19
0.54,-2.74,18,18,24,12,19
0.56,-2.74,18,18,24,12,19
0.58,-2.74,18,18,24,12,19
0.6,-2.74,18,18,24,19,12
0.62,-2.74,18,18,24,19,12
0.64,-2.74,18,18,24,19,25
0.66,-2.74,18,18,24,25,19
0.68,-2.74,18,18,24,25,19
0.7,-2.74,18,18,24,25,19
0.72,-2.74,24,24,18,25,19
0.74,-2.74,24,24,18,25,19
0.76,-2.74,24,24,18,25,19
0.78,-2.74,24,24,18,25,19
0.8,-2.74,24,24,18,25,19
0.82,-2.74,24,24,18,25,19
0.84,-2.74,24,24,18,25,19
0.86,-2.74,24,24,18,25,19
0.88,-2.74,24,24,18,25,19
0.9,-2.74,24,24,18,25,19
0.92,-2.74,24,24,18,25,19
0.94,-2.74,24,24,18,25,19
-1.2,-2.72,0,0,1,6,7
-1.18,-2.72,0,0,1,6,7
-1.16,-2.72,0,0,1,6,7
-1.14,-2.72,0,0,1,6,7
-1.12,-2.72,0,0,1,6,7
-1.1,-2.72,0,0,1,6,7
-1.08,-2.72,0,0,1,6,7
-1.06,-2.72,0,0,6,1,7
-1.04,-2.72,0,0,6,1,7
-1.02,-2.72,0,0,6,1,7
-1.0,-2.72,0,0,6,1,7
-0.98,-2.72,0,0,6,1,7
-0.96,-2.72,0,0,6,1,7
-0.94,-2.72,0,0,6,1,7
-0.92,-2.72,0,0,6,1,7
-0.9,-2.72,0,0,6,1,7
-0.88,-2.72,0,0,6,1,7
-0.86,-2.72,0,0,6,1,7
-0.84,-2.72,0,0,6,1,7
-0.82,-2.72,0,0,6,1,7
-0.8,-2.72,0,0,6,1,7
-0.78,-2.72,0,0,6,1,7
-0.76,-2.72,0,0,6,1,7
-0.74,-2.72,0,0,6,1,7
-0.72,-2.72,6,6,0,7,1
-0.7,-2.72,6,6,0,7,1
-0.68,-2.72,6,6,0,7,1
-0.66,-2.72,6,6,0,7,12
-0.64,-2.72,6,6,0,7,12
-0.62,-2.72,6,6,0,7,12
-0.6,-2.72,6,6,0,7,12
-0.58,-2.72,6,6,0,12,7
-0.56,-2.72,6,6,0,12,7
-0.54,-2.72,6,6,0,12,7
-0.52,-2.72,6,6,0,12,7
-0.5,-2.72,6,6,0,12,7
-0.48,-2.72,6,6,12,0,7
-0.46,-2.72,6,6,12,0,7
-0.44,-2.72,6,6,12,0,7
-0.42,-2.72,6,6,12,0,7
-0.4,-2.72,6,6,12,0,7
-0.38,-2.72,6,6,12,0,7
-0.36,-2.72,6,6,12,7,0
-0.34,-2.72,6,6,12,7,0
-0.32,-2.72,6,6,12,7,0
-0.3,-2.72,6,6,12,7,13
-0.28,-2.72,6,6,12,7,13
-0.26,-2.72,6,6,12,7,13
-0.24,-2.72,12,12,6,13,7
-0.22,-2.72,12,12,6,13,7
-0.2,-2.72,12,12,6,13,7
-0.18,-2.72,12,12,6,13,18
-0.16,-2.72,12,12,6,13,18
-0.14,-2.72,12,12,6,13,18
-0.12,-2.72,12,12,6,13,18
-0.1,-2.72,12,12,6,18,13
-0.08,-2.72,12,12,6,18,13
-0.06,-2.72,12,12,6,18,13
-0.04,-2.72,12,12,6,18,13
-0.02,-2.72,12,12,6,18,13
0.0,-2.72,12,12,18,6,13
0.02,-2.72,12,12,18,6,13
0.04,-2.72,12,12,18,6,13
0.06,-2.72,12,12,18,6,13
